Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,0,4,0.02,1743510230581621.584	,1743510230581621.604	
0,Eye,KERNEL_AIVEC,2,0,218.46,1743510231043199.364	,1743510231043417.824	
0,N/A,EVENT_RECORD,2,1,0.02,1743510231043417.844	,1743510231043417.864	
0,N/A,PROFILING_DISABLE,0,5,0.0,1743510231744261.244	,1743510231744261.244	
0,N/A,DEVICE_RINGBUFFER_CONTROL,0,6,0.02,1743510231744327.624	,1743510231744327.644	
0,N/A,EVENT_RECORD,0,7,0.0,1743510231744327.824	,1743510231744327.824	
